"trip_id","start_time","end_time","bikeid","tripduration","from_station_id","from_station_name","to_station_id","to_station_name","usertype","gender","birthyear"
"13518832","2017-03-31 22:44:15","2017-03-31 22:46:10","1052","115","333","Ashland Ave & Blackhawk St","61","Wood St & Milwaukee Ave","Subscriber","Male","1990"
"13518831","2017-03-31 22:43:23","2017-03-31 22:46:30","2895","187","213","Leavitt St & North Ave","159","Claremont Ave & Hirsch St","Subscriber","Male","1987"
"13518830","2017-03-31 22:42:33","2017-03-31 22:53:51","2496","678","46","Wells St & Walton St","144","Larrabee St & Webster Ave","Subscriber","Male","1985"
"13518829","2017-03-31 22:41:18","2017-03-31 22:43:51","2330","153","254","Pine Grove Ave & Irving Park Rd","240","Sheridan Rd & Irving Park Rd","Subscriber","Male","1993"
"13518828","2017-03-31 22:39:59","2017-03-31 22:47:03","2165","424","111","Sedgwick St & Huron St","199","Wabash Ave & Grand Ave","Subscriber","Male","1985"
"13518827","2017-03-31 22:39:54","2017-03-31 22:55:03","3947","909","86","Eckhart Park","302","Sheffield Ave & Wrightwood Ave","Subscriber","Male","1988"
"13518826","2017-03-31 22:37:14","2017-03-31 22:51:24","1079","850","5","State St & Harrison St","132","Wentworth Ave & 24th St","Subscriber","Female","1985"
"13518825","2017-03-31 22:36:11","2017-03-31 23:00:42","5694","1471","13","Wilton Ave & Diversey Pkwy","489","Drake Ave & Addison St","Subscriber","Male","1980"
"13518824","2017-03-31 22:35:10","2017-03-31 22:38:55","3870","225","130","Damen Ave & Division St","128","Damen Ave & Chicago Ave","Subscriber","Female","1982"
"13518823","2017-03-31 22:33:26","2017-03-31 22:43:21","5367","595","340","Clark St & Wrightwood Ave","301","Clark St & Schiller St","Subscriber","Male","1971"
"13518822","2017-03-31 22:33:00","2017-03-31 23:03:02","5527","1802","520","Greenview Ave & Jarvis Ave","232","Pine Grove Ave & Waveland Ave","Subscriber","Male","1971"
"13518821","2017-03-31 22:32:56","2017-03-31 22:41:03","3264","487","299","Halsted St & Roscoe St","300","Broadway & Barry Ave","Subscriber","Male","1969"
"13518820","2017-03-31 22:32:14","2017-03-31 22:44:10","5202","716","537","Kenton Ave & Madison St","530","Laramie Ave & Kinzie St","Customer","",""
"13518819","2017-03-31 22:31:09","2017-03-31 22:43:11","5548","722","77","Clinton St & Madison St","46","Wells St & Walton St","Subscriber","Male","1992"
"13518818","2017-03-31 22:30:41","2017-03-31 22:44:16","5915","815","56","Desplaines St & Kinzie St","22","May St & Taylor St","Subscriber","Female","1973"
"13518817","2017-03-31 22:30:00","2017-03-31 22:49:07","3228","1147","16","Paulina Ave & North Ave","230","Lincoln Ave & Roscoe St","Subscriber","Male","1974"
"13518816","2017-03-31 22:29:33","2017-03-31 22:39:34","3886","601","156","Clark St & Wellington Ave","118","Sedgwick St & North Ave","Subscriber","Male","1990"
"13518815","2017-03-31 22:29:26","2017-03-31 22:42:00","4645","754","196","Cityfront Plaza Dr & Pioneer Ct","45","Michigan Ave & Congress Pkwy","Subscriber","Male","1995"
"13518814","2017-03-31 22:27:44","2017-03-31 22:35:39","3351","475","198","Green St & Madison St","81","Daley Center Plaza","Subscriber","Male","1989"
"13518813","2017-03-31 22:26:43","2017-03-31 22:49:46","5148","1383","284","Michigan Ave & Jackson Blvd","2","Buckingham Fountain","Customer","",""
"13518812","2017-03-31 22:25:45","2017-03-31 22:27:50","3077","125","75","Clinton St & Jackson Blvd","77","Clinton St & Madison St","Subscriber","Male","1977"
"13518811","2017-03-31 22:25:36","2017-03-31 22:50:11","1800","1475","284","Michigan Ave & Jackson Blvd","2","Buckingham Fountain","Customer","",""
"13518810","2017-03-31 22:25:21","2017-03-31 22:50:38","2219","1517","284","Michigan Ave & Jackson Blvd","2","Buckingham Fountain","Customer","",""
"13518809","2017-03-31 22:25:10","2017-03-31 22:49:40","1354","1470","284","Michigan Ave & Jackson Blvd","2","Buckingham Fountain","Customer","",""
"13518808","2017-03-31 22:24:05","2017-03-31 22:34:09","2108","604","71","Morgan St & Lake St","277","Ashland Ave & Grand Ave","Subscriber","Female","1987"
"13518807","2017-03-31 22:23:43","2017-03-31 22:29:45","2059","362","149","Calumet Ave & 33rd St","148","State St & 33rd St","Subscriber","Male","1993"
"13518806","2017-03-31 22:23:24","2017-03-31 22:29:37","125","373","219","Damen Ave & Cortland St","130","Damen Ave & Division St","Subscriber","Male","1988"
"13518805","2017-03-31 22:23:24","2017-03-31 22:28:18","2586","294","37","Dearborn St & Adams St","192","Canal St & Adams St","Subscriber","Male","1968"
"13518804","2017-03-31 22:22:39","2017-03-31 22:32:05","3991","566","447","Glenwood Ave & Morse Ave","515","Paulina St & Howard St","Subscriber","Male","1984"
"13518803","2017-03-31 22:21:58","2017-03-31 22:29:30","2936","452","195","Columbus Dr & Randolph St","174","Canal St & Madison St","Customer","",""
"13518802","2017-03-31 22:19:39","2017-03-31 22:26:47","757","428","74","Kingsbury St & Erie St","77","Clinton St & Madison St","Subscriber","Male","1986"
"13518801","2017-03-31 22:19:19","2017-03-31 22:26:15","2546","416","313","Lakeview Ave & Fullerton Pkwy","118","Sedgwick St & North Ave","Subscriber","Female","1992"
"13518800","2017-03-31 22:18:56","2017-03-31 22:24:19","2875","323","100","Orleans St & Merchandise Mart Plaza","181","LaSalle St & Illinois St","Subscriber","Male","1986"
"13518799","2017-03-31 22:18:36","2017-03-31 22:27:58","3743","562","145","Mies van der Rohe Way & Chestnut St","66","Clinton St & Lake St","Subscriber","Male","1989"
"13518798","2017-03-31 22:18:23","2017-03-31 22:30:35","470","732","106","State St & Pearson St","340","Clark St & Wrightwood Ave","Subscriber","Male","1960"
"13518797","2017-03-31 22:18:05","2017-03-31 22:30:43","2377","758","161","Rush St & Superior St","86","Eckhart Park","Customer","",""
"13518796","2017-03-31 22:18:00","2017-03-31 22:30:33","4310","753","161","Rush St & Superior St","86","Eckhart Park","Customer","",""
"13518795","2017-03-31 22:16:49","2017-03-31 22:23:04","2831","375","176","Clark St & Elm St","141","Clark St & Lincoln Ave","Subscriber","Male","1989"
"13518794","2017-03-31 22:15:52","2017-03-31 22:19:33","5267","221","452","Western Ave & Granville Ave","455","Maplewood Ave & Peterson Ave","Subscriber","Male","1987"
"13518793","2017-03-31 22:15:54","2017-03-31 22:18:46","5146","172","213","Leavitt St & North Ave","159","Claremont Ave & Hirsch St","Subscriber","Male","1977"
"13518792","2017-03-31 22:14:16","2017-03-31 22:21:10","351","414","215","Damen Ave & Madison St","214","Damen Ave & Grand Ave","Subscriber","Male","1975"
"13518791","2017-03-31 22:12:50","2017-03-31 22:35:53","5694","1383","47","State St & Kinzie St","13","Wilton Ave & Diversey Pkwy","Subscriber","Male","1980"
"13518790","2017-03-31 22:12:22","2017-03-31 22:21:50","1799","568","45","Michigan Ave & Congress Pkwy","45","Michigan Ave & Congress Pkwy","Customer","",""
"13518789","2017-03-31 22:12:04","2017-03-31 22:18:52","3462","408","31","Franklin St & Chicago Ave","74","Kingsbury St & Erie St","Subscriber","Male","1991"
"13518788","2017-03-31 22:11:45","2017-03-31 22:21:25","4569","580","45","Michigan Ave & Congress Pkwy","45","Michigan Ave & Congress Pkwy","Customer","",""
"13518787","2017-03-31 22:11:21","2017-03-31 22:21:50","2411","629","45","Michigan Ave & Congress Pkwy","45","Michigan Ave & Congress Pkwy","Customer","",""
"13518786","2017-03-31 22:10:43","2017-03-31 22:28:06","3547","1043","62","McCormick Place","33","State St & Van Buren St","Customer","",""
"13518785","2017-03-31 22:10:18","2017-03-31 22:16:39","3502","381","231","Sheridan Rd & Montrose Ave","232","Pine Grove Ave & Waveland Ave","Subscriber","Male","1956"
"13518784","2017-03-31 22:07:56","2017-03-31 22:16:21","3821","505","215","Damen Ave & Madison St","198","Green St & Madison St","Customer","",""
"13518783","2017-03-31 22:07:50","2017-03-31 22:15:47","295","477","148","State St & 33rd St","237","MLK Jr Dr & 29th St","Subscriber","Male","1991"
"13518782","2017-03-31 22:07:39","2017-03-31 22:16:46","2481","547","215","Damen Ave & Madison St","198","Green St & Madison St","Customer","",""
"13518781","2017-03-31 22:07:32","2017-03-31 22:27:08","4280","1176","226","Racine Ave & Belmont Ave","460","Clark St & Bryn Mawr Ave","Subscriber","Male","1981"
"13518780","2017-03-31 22:06:21","2017-03-31 22:12:48","2055","387","161","Rush St & Superior St","52","Michigan Ave & Lake St","Subscriber","Male","1962"
"13518779","2017-03-31 22:06:34","2017-03-31 22:16:26","3351","592","215","Damen Ave & Madison St","198","Green St & Madison St","Customer","",""
